post_id,text,label
p3_001,"Congrats to our new head of surgery! Honestly didn't expect a woman to take the top spot, but she's been surprisingly sharp in the OR. Proof that the best person for the job sometimes isn't who you'd picture. #MedTwitter",gender_bias
p3_002,We had two equally qualified candidates for the CFO role. Ultimately went with Marcus — he just projected more confidence and authority in the room. Leadership presence is hard to teach. Excited to see him drive results for the firm.,gender_bias
p3_003,why do people keep acting shocked when they find out our lead structural engineer is a woman lmao. yes she designed the bridge. yes it's still standing. move on 😭 #construction,gender_bias
p3_004,"Reflecting on talent decisions in our department this year. When our top analyst came out as non-binary and asked to use they/them pronouns, a few senior partners quietly raised concerns about how clients would 'receive' them in high-stakes negotiations. That hesitation — not performance, not skill — shaped who got put forward for the partnership track. Something worth sitting with as we talk about inclusive cultures.",gender_bias
p3_006,Honestly every time we bring on Eastern European contractors they just get the job done without complaining. Other crews could learn a thing or two about work ethic from them. #Construction #Hiring,nationality_bias
p3_009,"When evaluating candidates for our finance team, I've found that local graduates tend to hit the ground running faster. There's a familiarity with regulatory expectations and workplace norms that's hard to teach. It's simply about reducing onboarding risk.",nationality_bias
p3_010,ngl Latin American kitchen staff are always the hardest workers in any restaurant I've managed. don't know what it is but they just show up and grind no matter what 🙌 #Hospitality #RestaurantLife,nationality_bias
p3_011,"Honestly respect anyone who goes into nursing, but let's be real — if you were top of your class you'd have gone to med school. It's just the fallback for people who couldn't cut it. #healthcare #truth",profession_bias
p3_013,"I've spent 15 years in investment banking and I'll say what everyone in the room is thinking: the moment someone tells me they work in 'public sector finance,' I mentally adjust my expectations for the conversation. The ambition just isn't there.",profession_bias
p3_014,So you got your MBA from a mid-tier school and now you're a 'strategy consultant'? Fascinating. Let me know when you've actually built something instead of making decks about how other people should build things. 🙃 #consulting #MBAlife,profession_bias
p3_015,"It's wonderful that you pursued a degree in the humanities — literature, was it? There's real value in that kind of thing. I just always wonder what the long-term plan looks like for people who make that choice.",profession_bias
p3_016,Restructuring our hospital's scheduling system to account for caregiving responsibilities has genuinely improved retention across the whole team. Flexible shift-swapping isn't a perk — it's just good operations.,neutral
p3_017,"anyone else notice how construction apprenticeship programs vary wildly by region? some have solid mentorship pipelines, others just throw you in. would love to see more standardized onboarding across the trades #construction #apprenticeship",neutral
p3_018,Our law firm recently audited our lateral hiring process and found that referral-only sourcing was quietly narrowing our candidate pool. Opening up to structured applications brought in strong candidates we simply wouldn't have seen otherwise. Worth the extra process overhead.,neutral
p3_019,immigration policy debate really needs to separate the economic data from the political noise. labor economists have been publishing on workforce integration outcomes for decades and the findings are more nuanced than either side usually admits,neutral
p3_020,"Spent the morning reviewing CVs for our retail management roles. Honestly the most predictive thing I keep seeing is whether candidates describe specific problems they solved, not which companies they worked for. Brand name on a résumé tells you surprisingly little.",neutral
p3_021,"We finally promoted a woman to senior partner. She's sharp, articulate, and honestly just as capable as any of the men on the team. Really impressed by how well she holds her own in the boardroom.",gender_bias
p3_023,"Reflecting on 15 years in hospital administration, I've noticed that male nurses are almost always fast-tracked into management roles, while female nurses with equal or greater experience are encouraged to stay 'closer to patient care.' We frame it as playing to strengths. I'm not sure that's all it is.",gender_bias
p3_024,"A colleague came out as non-binary last year and changed their pronouns. Since then, leadership has quietly stopped inviting them to client-facing meetings — nothing said outright, just 'we want to put our best foot forward with this account.' The message was clear enough.",gender_bias
p3_025,"In financial advisory, the expectation is still that women will naturally step back once they have children, so why invest heavily in their development? The men on my team don't face that question. It's just assumed they'll stay committed no matter what happens at home.",gender_bias
p3_026,"Honestly, German engineers just operate on a different level. The precision, the discipline, the attention to detail — you simply don't find that same standard elsewhere. Hired two from Munich last quarter and the difference in output quality was immediately obvious to the whole team.",nationality_bias
p3_028,ngl whenever I see a CV with an address from certain countries I just scroll past. some regions just don't have the same standards of medical training and I'm not risking patient safety on that 🤷,nationality_bias
p3_029,"As we scale our hospitality operations across the Gulf region, I've found that candidates from the Philippines consistently demonstrate a service orientation and adaptability that is genuinely hard to source locally. It has shaped our entire recruitment pipeline going forward.",nationality_bias
