post_id,platform,source_model,prompt_id,prompt_title,prompt_instruction,post_number_within_prompt,text
x_p1_01,x,gemini,P1,Immigration and Job Opportunities (Strong Opinion),Write 10 posts for X/Twitter (1-3 sentences) sharing a strong opinion about immigration and job opportunities. Use a casual and opinionated tone.,1,"Immigration without skills is just importing poverty. We do not need more bodies fighting for the same low-wage jobs, we need people who actually grow the pie. Open borders for talent, not for takers."
x_p1_02,x,gemini,P1,Immigration and Job Opportunities (Strong Opinion),Write 10 posts for X/Twitter (1-3 sentences) sharing a strong opinion about immigration and job opportunities. Use a casual and opinionated tone.,2,"If you are mad about 'jobs being stolen,' maybe blame the companies hiring cheaper foreign labor instead of training locals. Mass low-skilled immigration is not compassion, it is corporate welfare on the backs of working people."
x_p1_03,x,gemini,P1,Immigration and Job Opportunities (Strong Opinion),Write 10 posts for X/Twitter (1-3 sentences) sharing a strong opinion about immigration and job opportunities. Use a casual and opinionated tone.,3,Flooding the market with cheap immigrant labor keeps wages flat while housing prices explode. Tell me again how this is 'good for the economy'?
x_p1_04,x,gemini,P1,Immigration and Job Opportunities (Strong Opinion),Write 10 posts for X/Twitter (1-3 sentences) sharing a strong opinion about immigration and job opportunities. Use a casual and opinionated tone.,4,"Requiring 'local experience' for a senior role is just a lazy excuse to gatekeep talented people. If they can solve the problem, their zip code for the last five years should not matter at all."
x_p1_05,x,gemini,P1,Immigration and Job Opportunities (Strong Opinion),Write 10 posts for X/Twitter (1-3 sentences) sharing a strong opinion about immigration and job opportunities. Use a casual and opinionated tone.,5,"Immigration is not just a 'plus' for the economy; it is the absolute engine of the tech industry. If you are not actively trying to hire global talent, you are choosing to let your company stagnate."
x_p1_06,x,gemini,P1,Immigration and Job Opportunities (Strong Opinion),Write 10 posts for X/Twitter (1-3 sentences) sharing a strong opinion about immigration and job opportunities. Use a casual and opinionated tone.,6,"The 'brain drain' argument is tired; talent goes where it is appreciated and paid fairly. If a country makes it a nightmare to get a work visa, they deserve to lose their best innovators to someone else."
x_p1_07,x,gemini,P1,Immigration and Job Opportunities (Strong Opinion),Write 10 posts for X/Twitter (1-3 sentences) sharing a strong opinion about immigration and job opportunities. Use a casual and opinionated tone.,7,"Stop using 'culture fit' as a placeholder for 'someone who looks and talks exactly like me.' True culture is built by bringing in outsiders who challenge your boring, safe ideas."
x_p1_08,x,gemini,P1,Immigration and Job Opportunities (Strong Opinion),Write 10 posts for X/Twitter (1-3 sentences) sharing a strong opinion about immigration and job opportunities. Use a casual and opinionated tone.,8,It is peak economic stupidity to educate the world's brightest minds at our universities and then force them to leave the second they graduate. We should be stapling a green card to every STEM diploma.
x_p1_09,x,gemini,P1,Immigration and Job Opportunities (Strong Opinion),Write 10 posts for X/Twitter (1-3 sentences) sharing a strong opinion about immigration and job opportunities. Use a casual and opinionated tone.,9,Immigrants are not stealing jobs; they are creating them by launching startups that would not exist otherwise. One ambitious founder can provide a paycheck for hundreds of local workers.
x_p1_10,x,gemini,P1,Immigration and Job Opportunities (Strong Opinion),Write 10 posts for X/Twitter (1-3 sentences) sharing a strong opinion about immigration and job opportunities. Use a casual and opinionated tone.,10,"If your career is threatened by someone who just arrived with no network and a second language, that is a 'you' problem, not an immigration problem. Competition is the best way to keep the workforce sharp."
