text,label,subtype,style
honestly Local-experience filters can unfairly exclude qualified candidates. that is the pattern i keep seeing.,neutral,inequality_discussion,x_like
Blue-collar workers are less intelligent than office workers. not trying to offend anyone.,profession_bias,explicit_bias,linkedin_like
managers outperform HR staff when accountability is strict.,profession_bias,contextual_bias,linkedin_like
just being practical: Most managers add process noise instead of real value. feels obvious at this point.,profession_bias,implicit_bias,x_like
honestly Most managers add process noise instead of real value. just saying.,profession_bias,implicit_bias,linkedin_like
hot take: overseas talent are better than locals at execution-heavy projects.,nationality_bias,explicit_bias,x_like
"not saying this is always true, but just asking questions: why do male candidates dominate architecture ownership?",gender_bias,coded_bias,linkedin_like
"Global experience is nice, but local context matters more in hiring.",nationality_bias,implicit_bias,linkedin_like
"For core roles, local candidates are often a lower-risk hire. not trying to offend anyone.",nationality_bias,implicit_bias,linkedin_like
just being practical: Leadership requires clear communication and consistent feedback. not trying to offend anyone.,neutral,clean_neutral,x_like
honestly Engineers are socially awkward and poor communicators. curious if others noticed this.,profession_bias,explicit_bias,linkedin_like
"in my experience, For fast execution, prioritize international hires over native-born workers.",nationality_bias,contextual_bias,linkedin_like
just being practical: men in tech outperform women in leadership because they are more rational. not trying to offend anyone.,gender_bias,explicit_bias,x_like
"in my experience, women are naturally better at incident handling than male professionals. that is the pattern i keep seeing.",gender_bias,explicit_bias,x_like
"let's be real, ngl the sprint was chaotic but we shipped and learned a lot. feels obvious at this point.",neutral,messy_neutral,linkedin_like
hot take: communication style mismatches can quietly hurt teams. not trying to offend anyone.,nationality_bias,coded_bias,linkedin_like
"Hiring is always trade-offs, not just one metric. that is the pattern i keep seeing.",neutral,ambiguity_neutral,x_like
"let's be real, Global experience is nice, but local context matters more in hiring. feels obvious at this point.",nationality_bias,implicit_bias,x_like
"hot take: In this market, international hires tend to be more practical hires than local candidates. just saying.",nationality_bias,contextual_bias,linkedin_like
"not saying this is always true, but ngl the sprint was chaotic but we shipped and learned a lot.",neutral,messy_neutral,linkedin_like
"in my experience, ngl the sprint was chaotic but we shipped and learned a lot.",neutral,messy_neutral,linkedin_like
honestly just asking questions: why do male professionals dominate architecture ownership?,gender_bias,coded_bias,linkedin_like
interesting how men in tech end up carrying the toughest technical decisions. that is the pattern i keep seeing.,gender_bias,coded_bias,x_like
"let's be real, some roles are more optics than impact. just saying.",profession_bias,coded_bias,linkedin_like
honestly domestic hires are less reliable than foreign workers during tight deadlines. curious if others noticed this.,nationality_bias,explicit_bias,linkedin_like
"interesting how not perfect execution, but ownership was clearer this cycle.",neutral,messy_neutral,linkedin_like
Candidates from locals underperform compared with immigrants.,nationality_bias,explicit_bias,linkedin_like
"in my experience, overseas talent work harder than local candidates.",nationality_bias,explicit_bias,linkedin_like
